"company_permalink","company_name","company_category_code","company_country_code","company_state_code","company_region","company_city","investor_permalink","investor_name","investor_category_code","investor_country_code","investor_state_code","investor_region","investor_city","funding_round_type","funded_at","funded_month","funded_quarter","funded_year","raised_amount_usd","id"
"/company/union-bay-networks","Union Bay Networks","software","USA","WA","Seattle","Seattle","/financial-organization/madrona-venture-group","Madrona Venture Group",,"USA","WA","Seattle","Seattle","series-a","7/14/09","2013-07","2013-Q3",2013.0,1850000.0,1
"/company/shippable","Shippable","software","USA","WA","Seattle","Bellevue","/financial-organization/madrona-venture-group","Madrona Venture Group",,"USA","WA","Seattle","Seattle","series-a","12/9/09","2013-12","2013-Q4",2013.0,2050000.0,2
"/company/jama-software","Jama Software","software","USA","OR","Portland","Portland","/financial-organization/madrona-venture-group","Madrona Venture Group",,"USA","WA","Seattle","Seattle","series-b","8/18/09","2013-08","2013-Q3",2013.0,1.3E7,3
"/company/buddytv","BuddyTV","games_video","USA","WA","Seattle","Seattle","/financial-organization/madrona-venture-group","Madrona Venture Group",,"USA","WA","Seattle","Seattle","venture","12/3/09","2013-12","2013-Q4",2013.0,1500000.0,4
"/company/jobaline","Jobaline","web","USA","WA","Seattle","Kirkland","/financial-organization/madrona-venture-group","Madrona Venture Group",,"USA","WA","Seattle","Seattle","series-a","10/7/09","2013-10","2013-Q4",2013.0,2800000.0,5
"/company/ispot-tv","iSpot.tv","advertising","USA","WA","Seattle","Seattle","/financial-organization/madrona-venture-group","Madrona Venture Group",,"USA","WA","Seattle","Seattle","series-a","10/7/09","2013-10","2013-Q4",2013.0,5000000.0,6
"/company/physware","Nimbic (formerly Physware)","enterprise","USA","CA","SF Bay","Mountain View","/financial-organization/madrona-venture-group","Madrona Venture Group",,"USA","WA","Seattle","Seattle","venture","12/31/07","2012-01","2012-Q1",2012.0,444000.0,7
"/company/seeq","Seeq","other","USA","WA","Seattle","SEATTLE","/financial-organization/madrona-venture-group","Madrona Venture Group",,"USA","WA","Seattle","Seattle","series-a","11/4/09","2013-11","2013-Q4",2013.0,6000000.0,8
"/company/2nd-watch","2nd Watch","enterprise","USA","WA","Seattle","Seattle","/financial-organization/madrona-venture-group","Madrona Venture Group",,"USA","WA","Seattle","Seattle","private-equity","11/4/09","2013-11","2013-Q4",2013.0,2.3E7,9
"/company/redfin","Redfin","real_estate","USA","WA","Seattle","Seattle","/financial-organization/madrona-venture-group","Madrona Venture Group",,"USA","WA","Seattle","Seattle","series-c+","11/12/09","2013-11","2013-Q4",2013.0,5.0E7,10
